Id,LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SaleCondition,SalePrice,log_SalePrice
1,0.1506849315068493,0.03341980415527355,3.0,6.0,0.9492753623188417,0.8833333333333329,1.0,0.1225,2.0,2.0,2.0,3.0,0.12508858965272857,0.14009819967266776,0.0,1.0,4.0,0.10964083175803403,0.4135593220338983,0.2592313489073097,1.0,2.0,1.0,2.0,0.46153846153846156,0.0,1.0,0.9075668328047123,2.0,2.0,0.3682795698924731,5.0,5.0,2.0,0.0,0.08221024258760108,4.0,208500.0,12.247694320220994
2,0.20205479452054792,0.03879501741101685,3.0,5.0,0.7536231884057969,0.43333333333333,1.0,0.0,3.0,1.0,2.0,1.0,0.1732813607370659,0.2065466448445172,0.0,1.0,4.0,0.19491703423650492,0.0,0.17483044461190655,0.0,2.0,0.0,3.0,0.3076923076923077,1.0,1.0,0.8953330312641595,2.0,2.0,0.30913978494623656,5.0,5.0,2.0,0.2092696629213483,0.0,4.0,181500.0,12.109010932687042
3,0.16095890410958902,0.04650727990838767,0.0,6.0,0.9347826086956523,0.8666666666666671,1.0,0.10125,2.0,2.0,2.0,2.0,0.08610914245216159,0.15057283142389527,0.0,1.0,4.0,0.12308338584331023,0.41937046004842615,0.27354935945742276,1.0,2.0,1.0,2.0,0.3076923076923077,1.0,1.0,0.9066606252831899,2.0,2.0,0.40860215053763443,5.0,5.0,2.0,0.0,0.05660377358490566,4.0,223500.0,12.31716669303576
4,0.13356164383561642,0.0385613124868541,0.0,6.0,0.3115942028985508,0.3333333333333357,1.0,0.0,3.0,0.0,4.0,3.0,0.03827072997873848,0.12373158756137481,2.0,1.0,4.0,0.1316950220541903,0.36610169491525424,0.2605501130369254,1.0,1.0,0.0,2.0,0.3846153846153847,1.0,5.0,0.9053013140009062,3.0,3.0,0.43145161290322587,5.0,5.0,2.0,0.0,0.04716981132075472,0.0,140000.0,11.84939770159144
5,0.21575342465753422,0.06057631634298535,0.0,7.0,0.9275362318840585,0.8333333333333357,1.0,0.21875,2.0,2.0,2.0,0.0,0.11605244507441531,0.18739770867430444,0.0,1.0,4.0,0.17034236504935935,0.5099273607748184,0.35116804822908815,1.0,2.0,1.0,2.0,0.5384615384615384,1.0,1.0,0.9062075215224287,2.0,3.0,0.5618279569892474,5.0,5.0,2.0,0.1348314606741573,0.11320754716981132,4.0,250000.0,12.429216196844383
6,0.2191780821917808,0.05989857206291336,0.0,4.0,0.8768115942028984,0.75,1.0,0.0,3.0,5.0,2.0,3.0,0.12969525159461376,0.13027823240589198,0.0,1.0,4.0,0.09703843730308757,0.27409200968523,0.19366993217784478,1.0,1.0,1.0,3.0,0.23076923076923078,0.0,1.0,0.9030357951971002,3.0,2.0,0.32258064516129037,5.0,5.0,2.0,0.028089887640449437,0.04043126684636119,4.0,143000.0,11.870599909242044
7,0.18493150684931503,0.04105728107691229,3.0,7.0,0.9565217391304355,0.9166666666666643,2.0,0.11625,2.0,2.0,0.0,0.0,0.24255846917080087,0.27594108019639935,0.0,1.0,4.0,0.28565427431211926,0.0,0.2562170308967596,1.0,2.0,0.0,2.0,0.3846153846153847,1.0,1.0,0.9080199365654735,2.0,2.0,0.4274193548387097,5.0,5.0,2.0,0.17907303370786518,0.07681940700808626,4.0,307000.0,12.634603026569334
8,0.16543080587132408,0.04245016242492229,0.0,6.0,0.7318840579710155,0.38333333333333286,2.0,0.15,3.0,1.0,2.0,2.0,0.15219702338766833,0.1811783960720131,0.0,1.0,4.0,0.16236084856122662,0.47602905569007264,0.3308214016578749,1.0,2.0,1.0,3.0,0.3846153846153847,2.0,1.0,0.8939737199818759,2.0,2.0,0.3252688172043011,5.0,5.0,2.0,0.16502808988764045,0.2749326145552561,4.0,200000.0,12.206072645530174
9,0.10273972602739724,0.022529154689289302,3.0,6.0,0.42753623188405854,0.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.155810147299509,2.0,1.0,1.0,0.1445074564167192,0.3641646489104116,0.2712886209495102,0.0,2.0,0.0,3.0,0.46153846153846156,2.0,5.0,0.8749433620299049,3.0,2.0,0.31451612903225806,1.0,5.0,2.0,0.06320224719101124,0.0,0.0,129900.0,11.77452020265869
10,0.09931506849315068,0.028605482717520857,3.0,4.0,0.4855072463768124,0.0,1.0,0.0,3.0,0.0,4.0,3.0,0.15077958894401133,0.16219312602291328,0.0,1.0,4.0,0.15605965133375338,0.0,0.13997739261492087,1.0,1.0,0.0,3.0,0.23076923076923078,2.0,1.0,0.8785681921159946,2.0,1.0,0.1377688172043011,2.0,5.0,2.0,0.0,0.005390835579514825,4.0,118000.0,11.678439903447801
